Server,Local_Time_UTC,Server_Time_UTC,Time_Difference
ptbtime1.ptb.de,2024-05-06 18:05:58.209519,2024-05-06 20:05:58.207637,-7199.998118
ptbtime1.ptb.de,2024-05-06 18:05:59.238694,2024-05-06 20:05:59.236048,-7199.997354
ptbtime1.ptb.de,2024-05-06 18:06:00.265517,2024-05-06 20:06:00.262832,-7199.997315
ptbtime1.ptb.de,2024-05-06 18:06:01.291523,2024-05-06 20:06:01.290810,-7199.999287
ptbtime1.ptb.de,2024-05-06 18:06:02.331964,2024-05-06 20:06:02.323072,-7199.991108
ptbtime1.ptb.de,2024-05-06 18:06:03.367946,2024-05-06 20:06:03.365874,-7199.997928
ptbtime1.ptb.de,2024-05-06 18:06:04.401240,2024-05-06 20:06:04.394683,-7199.993443
ptbtime1.ptb.de,2024-05-06 18:06:05.427730,2024-05-06 20:06:05.423813,-7199.996083
ptbtime1.ptb.de,2024-05-06 18:06:06.460393,2024-05-06 20:06:06.459673,-7199.99928
ptbtime1.ptb.de,2024-05-06 18:06:07.489593,2024-05-06 20:06:07.487145,-7199.997552
